Title,"Video Directory","1080p URL","720p URL","360p URL","File Name 720p","Audio Directory","Audio URL","Document Directory","Document URL",Category,"Release Date","YouTube URL",GUID
"01 The Price of Priesthood Power","/Videos/General Conference/2016-April/04-Priesthood",http://media2.ldscdn.org/assets/general-conference/april-2016-general-conference/2016-04-04010-russell-m-nelson-1080p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/april-2016-general-conference/2016-04-3010-russell-m-nelson-720p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/april-2016-general-conference/2016-04-04010-russell-m-nelson-360p-eng.mp4,2016-04-3010-russell-m-nelson-720p-eng.mp4,"/Audio/General Conference/2016-April/04-Priesthood",http://media2.ldscdn.org/assets/general-conference/april-2016-general-conference/2016-04-04010-russell-m-nelson-64k-eng.mp3,"/Docs/General Conference/2016-April/04-Priesthood",http://media2.ldscdn.org/pdf/general-conference/april-2016-general-conference/2016-04-04010-russell-m-nelson.pdf,"General Priesthood Session April 2016",20160612,https://youtu.be/VzxZs-m-y88,ECE3E799-9F2E-48C3-92B3-BAFE828A9272
"02 The Greatest Leaders Are the Greatest Followers","/Videos/General Conference/2016-April/04-Priesthood",http://media2.ldscdn.org/assets/general-conference/april-2016-general-conference/2016-04-04020-stephen-w-owen-1080p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/april-2016-general-conference/2016-04-3020-stephen-w-owen-720p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/april-2016-general-conference/2016-04-04020-stephen-w-owen-360p-eng.mp4,2016-04-3020-stephen-w-owen-720p-eng.mp4,"/Audio/General Conference/2016-April/04-Priesthood",http://media2.ldscdn.org/assets/general-conference/april-2016-general-conference/2016-04-04020-stephen-w-owen-64k-eng.mp3,"/Docs/General Conference/2016-April/04-Priesthood",http://media2.ldscdn.org/pdf/general-conference/april-2016-general-conference/2016-04-04020-stephen-w-owen.pdf,"General Priesthood Session April 2016",20160612,https://youtu.be/CpVRiIII-Ko,E0C43835-F4A7-4E9A-B7DC-AF7322D091C9
"03 In Praise of Those Who Save","/Videos/General Conference/2016-April/04-Priesthood",http://media2.ldscdn.org/assets/general-conference/april-2016-general-conference/2016-04-04030-dieter-f-uchtdorf-1080p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/april-2016-general-conference/2016-04-3030-dieter-f-uchtdorf-720p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/april-2016-general-conference/2016-04-04030-dieter-f-uchtdorf-360p-eng.mp4,2016-04-04030-dieter-f-uchtdorf-720p-eng.mp4,"/Audio/General Conference/2016-April/04-Priesthood",http://media2.ldscdn.org/assets/general-conference/april-2016-general-conference/2016-04-04030-dieter-f-uchtdorf-64k-eng.mp3,"/Docs/General Conference/2016-April/04-Priesthood",http://media2.ldscdn.org/pdf/general-conference/april-2016-general-conference/2016-04-04030-dieter-f-uchtdorf.pdf,"General Priesthood Session April 2016",20160612,https://youtu.be/xy94De9Hj9o,F1E7C173-B5B9-43BF-AA11-37AC6B769896
"04 Eternal Families","/Videos/General Conference/2016-April/04-Priesthood",http://media2.ldscdn.org/assets/general-conference/april-2016-general-conference/2016-04-04040-henry-b-eyring-1080p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/april-2016-general-conference/2016-04-3040-henry-b-eyring-720p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/april-2016-general-conference/2016-04-04040-henry-b-eyring-360p-eng.mp4,2016-04-04040-henry-b-eyring-720p-eng.mp4,"/Audio/General Conference/2016-April/04-Priesthood",http://media2.ldscdn.org/assets/general-conference/april-2016-general-conference/2016-04-04040-henry-b-eyring-64k-eng.mp3,"/Docs/General Conference/2016-April/04-Priesthood",http://media2.ldscdn.org/pdf/general-conference/april-2016-general-conference/2016-04-04040-henry-b-eyring.pdf,"General Priesthood Session April 2016",20160612,https://youtu.be/GwCQBqbFB7s,2413CFBD-8319-4723-A961-D39E4BB2EC0C
"05 A Sacred Trust","/Videos/General Conference/2016-April/04-Priesthood",http://media2.ldscdn.org/assets/general-conference/april-2016-general-conference/2016-04-04050-thomas-s-monson-1080p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/april-2016-general-conference/2016-04-3050-thomas-s-monson-720p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/april-2016-general-conference/2016-04-04050-thomas-s-monson-360p-eng.mp4,2016-04-04050-thomas-s-monson-720p-eng.mp4,"/Audio/General Conference/2016-April/04-Priesthood",http://media2.ldscdn.org/assets/general-conference/april-2016-general-conference/2016-04-04050-thomas-s-monson-64k-eng.mp3,"/Docs/General Conference/2016-April/04-Priesthood",http://media2.ldscdn.org/pdf/general-conference/april-2016-general-conference/2016-04-04050-thomas-s-monson.pdf,"General Priesthood Session April 2016",20160612,https://youtu.be/Atgx4KN3V_E,D7FFF392-D1CA-4FFF-BF33-C2C58883DDF6
"01 When We Were Strangers","/Videos/General Conference/2016-April/01-GWM ",http://media2.ldscdn.org/assets/general-conference/april-2016-general-conference/2016-03-0010-when-we-were-strangers-1080p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/april-2016-general-conference/2016-03-0010-when-we-were-strangers-720p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/april-2016-general-conference/2016-03-0010-when-we-were-strangers-360p-eng.mp4,2016-03-0010-when-we-were-strangers-720p-eng.mp4,"/Audio/General Conference/2016-April/01-GWM",http://media2.ldscdn.org/assets/general-conference/april-2016-general-conference/2016-03-0010-when-we-were-strangers-64k-eng.mp3,"/Docs/General Conference/2016-April/01-GWM",https://media2.ldscdn.org/pdf/general-conference/april-2016-general-conference/2016-03-01010-video-presentation.pdf,"General Women's Session April 2016",20160329,https://youtu.be/jKRdlAmmT2k,99ED01E9-5981-4A18-B3B4-E4D9F4A61D21
"02 He Asks Us to Be His Hands","/Videos/General Conference/2016-April/01-GWM",http://media2.ldscdn.org/assets/general-conference/april-2016-general-conference/2016-03-0020-cheryl-a-esplin-1080p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/april-2016-general-conference/2016-03-0020-cheryl-a-esplin-720p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/april-2016-general-conference/2016-03-0020-cheryl-a-esplin-360p-eng.mp4,2016-03-0020-cheryl-a-esplin-720p-eng.mp4,"/Audio/General Conference/2016-April/01-GWM",https://media2.ldscdn.org/assets/general-conference/april-2016-general-conference/2016-03-01020-cheryl-a-esplin-64k-eng.mp3,"/Docs/General Conference/2016-April/01-GWM",https://media2.ldscdn.org/pdf/general-conference/april-2016-general-conference/2016-03-01020-cheryl-a-esplin.pdf,"General Women's Session April 2016",20160329,https://youtu.be/rAAXAj0El4w,08B63940-6193-4539-8B2C-3EAD4CF905F1
"03 What Shall We Do","/Videos/General Conference/2016-April/01-GWM",http://media2.ldscdn.org/assets/general-conference/april-2016-general-conference/2016-03-0030-neill-f-marriott-1080p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/april-2016-general-conference/2016-03-0030-neill-f-marriott-720p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/april-2016-general-conference/2016-03-0030-neill-f-marriott-360p-eng.mp4,2016-03-0030-neill-f-marriott-720p-eng.mp4,"/Audio/General Conference/2016-April/01-GWM",https://media2.ldscdn.org/assets/general-conference/april-2016-general-conference/2016-03-01030-neill-f-marriott-64k-eng.mp3,"/Docs/General Conference/2016-April/01-GWM",https://media2.ldscdn.org/pdf/general-conference/april-2016-general-conference/2016-03-01030-neill-f-marriott.pdf,"General Women's Session April 2016",20160329,https://youtu.be/1-P6VTJpRoA,B8ABEC1B-D66E-4ADA-BB96-A3F7BB05D78C
"05 I Was a Stranger","/Videos/General Conference/2016-April/01-GWM ",http://media2.ldscdn.org/assets/general-conference/april-2016-general-conference/2016-03-0050-linda-k-burton-1080p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/april-2016-general-conference/2016-03-0050-linda-k-burton-720p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/april-2016-general-conference/2016-03-0050-linda-k-burton-360p-eng.mp4,2016-03-0050-linda-k-burton-720p-eng.mp4,"/Audio/General Conference/2016-April/01-GWM",https://media2.ldscdn.org/assets/general-conference/april-2016-general-conference/2016-03-01050-linda-k-burton-64k-eng.mp3,"/Docs/General Conference/2016-April/01-GWM",https://media2.ldscdn.org/pdf/general-conference/april-2016-general-conference/2016-03-01050-linda-k-burton.pdf,"General Women's Session April 2016",20160404,https://youtu.be/0SIDQWzuJfk,DBBB7146-5766-432F-B7F8-6FD70996E6A1
"06 Trust in That Spirit Which Leadeth to Do Good","/Videos/General Conference/2016-April/01-GWM ",http://media2.ldscdn.org/assets/general-conference/april-2016-general-conference/2016-03-0060-henry-b-eyring-1080p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/april-2016-general-conference/2016-03-0060-henry-b-eyring-720p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/april-2016-general-conference/2016-03-0060-henry-b-eyring-360p-eng.mp4,2016-03-0060-henry-b-eyring-720p-eng.mp4,"/Audio/General Conference/2016-April/01-GWM",https://media2.ldscdn.org/assets/general-conference/april-2016-general-conference/2016-03-01060-henry-b-eyring-64k-eng.mp3,"/Docs/General Conference/2016-April/01-GWM",https://media2.ldscdn.org/pdf/general-conference/april-2016-general-conference/2016-03-01060-henry-b-eyring.pdf,"General Women's Session April 2016",20160404,https://youtu.be/xC2U4N-2Td4,A8A8BBAF-EEB2-49ED-BC26-D470F3E27E90
