Title,"Video Directory","1080p URL","720p URL","360p URL","File Name 720p","Audio Directory","Audio URL","Document Directory","Document URL",Category,"Release Date","YouTube URL",GUID
"The Family is Ordained of God","/Videos/General Conference/2015-April/01-GWM",http://media2.ldscdn.org/assets/general-conference/april-2015-general-conference/2015-03-0030-the-family-is-ordained-of-god-1080p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/april-2015-general-conference/2015-03-0030-the-family-is-ordained-of-god-720p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/april-2015-general-conference/2015-03-0030-the-family-is-ordained-of-god-360p-eng.mp4,2015-03-0030-the-family-is-ordained-of-god-720p-eng.mp4,"/Audio/General Conference/2015-April/01-GWM",http://media2.ldscdn.org/assets/general-conference/april-2015-general-conference/2015-03-0030-the-family-is-ordained-of-god-64k-eng.mp3,,,"General Women's Session March 2015",20150328,https://youtu.be/Sx4yGDidpVU,517D3849-8E4C-4DA1-81D3-DE298F666054
"Musical Presentation: The Family Is of God","/Videos/General Conference/2015-April/01-GWM",http://media2.ldscdn.org/assets/general-conference/april-2015-general-conference/2015-03-0002-musical-presentation-the-family-is-of-god-1080p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/april-2015-general-conference/2015-03-0002-musical-presentation-the-family-is-of-god-720p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/april-2015-general-conference/2015-03-0002-musical-presentation-the-family-is-of-god-360p-eng.mp4,2015-03-0002-musical-presentation-the-family-is-of-god-720p-eng.mp4,"/Audio/General Conference/2015-April/01-GWM",http://media2.ldscdn.org/assets/general-conference/april-2015-general-conference/2015-03-0002-musical-presentation-the-family-is-of-god-256k-eng.mp3,,,"General Women's Session March 2015",20150401,https://youtu.be/GIyHi_bMTxE,6F3B5413-E959-46EF-A447-5B8928E9C525
"The Family Is of God","/Videos/General Conference/2015-April/01-GWM",http://media2.ldscdn.org/assets/general-conference/april-2015-general-conference/2015-03-0020-carole-m-stephens-1080p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/april-2015-general-conference/2015-03-0020-carole-m-stephens-720p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/april-2015-general-conference/2015-03-0020-carole-m-stephens-360p-eng.mp4,2015-03-0020-carole-m-stephens-720p-eng.mp4,"/Audio/General Conference/2015-April/01-GWM",http://media2.ldscdn.org/assets/general-conference/april-2015-general-conference/2015-03-0020-carole-m-stephens-64k-eng.mp3,,,"General Women's Session March 2015",20150406,https://youtu.be/jzOTLGuCSsE,53E9857F-E8F4-4F75-AF5D-C0A736318E34
"How Firm a Foundation","/Videos/General Conference/2015-April/01-GWM",http://media2.ldscdn.org/assets/general-conference/april-2015-general-conference/2015-03-0001-how-firm-a-foundation-1080p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/april-2015-general-conference/2015-03-0001-how-firm-a-foundation-720p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/april-2015-general-conference/2015-03-0001-how-firm-a-foundation-360p-eng.mp4,2015-03-0001-how-firm-a-foundation-720p-eng.mp4,"/Audio/General Conference/2015-April/01-GWM",http://media2.ldscdn.org/assets/general-conference/april-2015-general-conference/2015-03-0001-how-firm-a-foundation-256k-eng.mp3,,,"General Women's Session March 2015",20150412,https://youtu.be/WPKU9M2JjnQ,6DBC30E6-8193-4A71-9149-AD64EFB31FFD
"Filling Our Homes with Light and Truth","/Videos/General Conference/2015-April/01-GWM",http://media2.ldscdn.org/assets/general-conference/april-2015-general-conference/2015-03-0010-cheryl-a-esplin-1080p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/april-2015-general-conference/2015-03-0010-cheryl-a-esplin-720p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/april-2015-general-conference/2015-03-0010-cheryl-a-esplin-360p-eng.mp4,2015-03-0010-cheryl-a-esplin-720p-eng.mp4,"/Audio/General Conference/2015-April/01-GWM",http://media2.ldscdn.org/assets/general-conference/april-2015-general-conference/2015-03-0010-cheryl-a-esplin-64k-eng.mp3,,,"General Women's Session March 2015",20150503,https://youtu.be/ZrnaSYF4PZI,D9B7B58A-6E5B-44EA-9D0A-77FA6A9C4282
"Defenders of the Family Proclamation","/Videos/General Conference/2015-April/01-GWM",http://media2.ldscdn.org/assets/general-conference/april-2015-general-conference/2015-03-0040-bonnie-l-oscarson-1080p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/april-2015-general-conference/2015-03-0040-bonnie-l-oscarson-720p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/april-2015-general-conference/2015-03-0040-bonnie-l-oscarson-360p-eng.mp4,2015-03-0040-bonnie-l-oscarson-720p-eng.mp4,"/Audio/General Conference/2015-April/01-GWM",http://media2.ldscdn.org/assets/general-conference/april-2015-general-conference/2015-03-0040-bonnie-l-oscarson-64k-eng.mp3,"/Docs/General Conference/2015-April/01-GWM",http://media.ldscdn.org/pdf/general-conference/april-2015-general-conference/2015-03-0040-bonnie-l-oscarson-eng.pdf,"General Women's Session March 2015",20150413,https://youtu.be/VBQEwD2BAqE,6C2F15D9-C38F-4FFF-8939-E22FDF226519
"Our Savior’s Love","/Videos/General Conference/2015-April/01-GWM",http://media2.ldscdn.org/assets/general-conference/april-2015-general-conference/2015-03-0051-our-saviors-love-1080p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/april-2015-general-conference/2015-03-0051-our-saviors-love-720p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/april-2015-general-conference/2015-03-0051-our-saviors-love-360p-eng.mp4,2015-03-0051-our-saviors-love-720p-eng.mp4,"/Audio/General Conference/2015-April/01-GWM",http://media2.ldscdn.org/assets/general-conference/april-2015-general-conference/2015-03-0051-our-saviors-love-256k-eng.mp3,,,"General Women's Session March 2015",20150414,https://youtu.be/LfdT10uFRy4,52867743-B185-40A0-AB9D-DA85DFE5889C
"The Comforter","/Videos/General Conference/2015-April/01-GWM",http://media2.ldscdn.org/assets/general-conference/april-2015-general-conference/2015-03-0050-president-henry-b-eyring-1080p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/april-2015-general-conference/2015-03-0050-president-henry-b-eyring-720p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/april-2015-general-conference/2015-03-0050-president-henry-b-eyring-360p-eng.mp4,2015-03-0050-president-henry-b-eyring-720p-eng.mp4,"/Audio/General Conference/2015-April/01-GWM",http://media2.ldscdn.org/assets/general-conference/april-2015-general-conference/2015-03-0050-president-henry-b-eyring-64k-eng.mp3,"/Docs/General Conference/2015-April/01-GWM",,"General Women's Session March 2015",20150414,https://youtu.be/LwriB9hAkkU,BD870C55-0A22-4785-9B2C-4DE51F3107B4
"From Homes of Saints Glad Songs Arise","/Videos/General Conference/2015-April/01-GWM",http://media2.ldscdn.org/assets/general-conference/april-2015-general-conference/2015-03-0031-from-homes-of-saints-glad-songs-arise-1080p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/april-2015-general-conference/2015-03-0031-from-homes-of-saints-glad-songs-arise-720p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/april-2015-general-conference/2015-03-0031-from-homes-of-saints-glad-songs-arise-360p-eng.mp4,2015-03-0031-from-homes-of-saints-glad-songs-arise-720p-eng.mp4,"/Audio/General Conference/2015-April/01-GWM",http://media2.ldscdn.org/assets/general-conference/april-2015-general-conference/2015-03-0031-from-homes-of-saints-glad-songs-arise-256k-eng.mp3,,,"General Women's Session March 2015",20150415,https://youtu.be/FRIbykSxsQ8,3DACBA34-80A2-4E1D-BED3-59DFE7BDD9FE
"Hymn Medley","/Videos/General Conference/2015-April/01-GWM",http://media2.ldscdn.org/assets/general-conference/april-2015-general-conference/2015-03-0041-hymn-medley-1080p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/april-2015-general-conference/2015-03-0041-hymn-medley-720p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/april-2015-general-conference/2015-03-0041-hymn-medley-360p-eng.mp4,2015-03-0041-hymn-medley-720p-eng.mp4,"/Audio/General Conference/2015-April/01-GWM",,,,"General Women's Session March 2015",20150415,https://youtu.be/nYh0zEkP_YY,8AF3612E-C393-4A6A-8DDE-1DE86D8F8F7C
