Title,"Video Directory","1080p URL","720p URL","360p URL","File Name 720p","Audio Directory","Audio URL","Document Directory","Document URL",Category,"Release Date","YouTube URL",GUID
"Jesus Heals a Lame Man on the Sabbath","/Videos/Bible Videos/02-Ministry",,http://media2.ldscdn.org/assets/scripture-and-lesson-support/the-life-of-jesus-christ-bible-videos/2011-10-062-jesus-heals-a-lame-man-on-the-sabbath-720p-eng.mp4,,2011-10-062-jesus-heals-a-lame-man-on-the-sabbath-720p-eng.mp4,,,,,"Bible Videos",20150628,,5B492605-15E0-494C-A22D-F13A08B0DAC6
"Seek Ye the Kingdom of God","/Videos/Bible Videos/02-Ministry",,http://media2.ldscdn.org/assets/scripture-and-lesson-support/the-life-of-jesus-christ-bible-videos/2011-10-061-seek-ye-the-kingdom-of-god-720p-eng.mp4,,2011-10-061-seek-ye-the-kingdom-of-god-720p-eng.mp4,,,,,"Bible Videos",20150628,,0B7C9D4C5-A14F-4EBD-ABB1-B8263E75D63F
"Follow Me, and I Will Make You Fishers of Men","/Videos/Bible Videos/02-Ministry",,http://media2.ldscdn.org/assets/scripture-and-lesson-support/the-life-of-jesus-christ-bible-videos/2011-10-060-follow-me-and-i-will-make-you-fishers-of-men-720p-eng.mp4,,2011-10-060-follow-me-and-i-will-make-you-fishers-of-men-720p-eng.mp4,,,,,"Bible Videos",20150628,,47746DF9-5CBF-428A-BF64-182408BC3331F
"The Good Shepherd and Other Sheep I Have","/Videos/Bible Videos/02-Ministry",,http://media2.ldscdn.org/assets/scripture-and-lesson-support/the-life-of-jesus-christ-bible-videos/2011-10-059-the-good-shepherd-and-other-sheep-i-have-720p-eng.mp4,,2011-10-059-the-good-shepherd-and-other-sheep-i-have-720p-eng.mp4,,,,,"Bible Videos",20150628,,409E89BB-D04E-4179-BC78-FFB50D819032C
"Jesus Acclaims John the Baptist - Come Unto Me","/Videos/Bible Videos/02-Ministry",http://media2.ldscdn.org/assets/scripture-and-lesson-support/the-life-of-jesus-christ-bible-videos/2011-10-058-jesus-acclaims-john-the-baptist-come-unto-me-1080p-eng.mp4,http://media2.ldscdn.org/assets/scripture-and-lesson-support/the-life-of-jesus-christ-bible-videos/2011-10-058-jesus-acclaims-john-the-baptist-come-unto-me-720p-eng.mp4,http://media2.ldscdn.org/assets/scripture-and-lesson-support/the-life-of-jesus-christ-bible-videos/2011-10-058-jesus-acclaims-john-the-baptist-come-unto-me-360p-eng.mp4,2011-10-058-jesus-acclaims-john-the-baptist-come-unto-me-720p-eng.mp4,,,,,"Bible Videos",20150628,,0816B2CEE-0354-4FA1-BE76-94CD0B2D8E9CA
"Peter's Revelation to Take the Gospel to the Gentiles","/Videos/Bible Videos/05-Acts of the Apostles",,http://media2.ldscdn.org/assets/scripture-and-lesson-support/the-life-of-jesus-christ-bible-videos/2011-10-057-peters-revelation-to-take-the-gospel-to-the-gentiles-720p-eng.mp4,,2011-10-057-peters-revelation-to-take-the-gospel-to-the-gentiles-720p-eng.mp4,,,,,"Bible Videos",20150628,,2BFD4F4F-5559-416F-BBD9-28D80D582C83A
"Forgive 70 Times 7","/Videos/Bible Videos/02-Ministry",,http://media2.ldscdn.org/assets/scripture-and-lesson-support/the-life-of-jesus-christ-bible-videos/2011-10-056-forgive-70-times-7-720p-eng.mp4,,2011-10-056-forgive-70-times-7-720p-eng.mp4,,,,,"Bible Videos",20150628,http://youtu.be/liaog6-LFpk,4BA88384-F26B-464B-9268-71290A2C5980
"The Prodigal Son","/Videos/Bible Videos/02-Ministry",,http://media2.ldscdn.org/assets/scripture-and-lesson-support/the-life-of-jesus-christ-bible-videos/2011-10-055-the-prodigal-son-720p-eng.mp4,,2011-10-055-the-prodigal-son-720p-eng.mp4,,,,,"Bible Videos",20150628,,3B3F05B7-D8B3-43AC-A2E2-D1D80BB987180
"The Kingdom of Heaven","/Videos/Bible Videos/02-Ministry",,http://media2.ldscdn.org/assets/scripture-and-lesson-support/the-life-of-jesus-christ-bible-videos/2011-10-054-the-kingdom-of-heaven-720p-eng.mp4,,2011-10-054-the-kingdom-of-heaven-720p-eng.mp4,,,,,"Bible Videos",20150628,,0C38AE0D1-156C-498D-B2CA-331E01496EA2
"Jesus Declares: The Parable of the Wheat and the Tares","/Videos/Bible Videos/02-Ministry",,http://media2.ldscdn.org/assets/scripture-and-lesson-support/the-life-of-jesus-christ-bible-videos/2011-10-053-jesus-declares-the-parable-of-the-wheat-and-the-tares-720p-eng.mp4,,2011-10-053-jesus-declares-the-parable-of-the-wheat-and-the-tares-720p-eng.mp4,,,,,"Bible Videos",20150628,,580A3E1D-7E70-455D-9F12-82470C5C34662
