Title,"Video Directory","1080p URL","720p URL","360p URL","File Name 720p","Audio Directory","Audio URL","Document Directory","Document URL",Category,"Release Date","YouTube URL",GUID
"Discovering the Divinity Within","/Videos/General Conference/2015-October/01-GWM",https://d1e635tdewwzdn.cloudfront.net/assets/general-conference/october-2015-general-conference/2015-09-0010-rosemary-m-wixom-1080p-eng.mp4,https://d1e635tdewwzdn.cloudfront.net/assets/general-conference/october-2015-general-conference/2015-09-0010-rosemary-m-wixom-720p-eng.mp4,https://d1e635tdewwzdn.cloudfront.net/assets/general-conference/october-2015-general-conference/2015-09-0010-rosemary-m-wixom-360p-eng.mp4,2015-09-0010-rosemary-m-wixom-720p-eng.mp4,"/Audio/General Conference/2015-October/01-GWM",https://d1e635tdewwzdn.cloudfront.net/assets/general-conference/october-2015-general-conference/2015-09-0010-rosemary-m-wixom-64k-eng.mp3,,,"General Womens Session October 2015",20150927,https://youtu.be/AGWV9-r6Epk,0A3639BF-F16F-44DA-89DC-C0EBFA0673E2
"Mother in Israel","/Videos/General Conference/2015-October/01-GWM",https://d1e635tdewwzdn.cloudfront.net/assets/general-conference/october-2015-general-conference/2015-09-0020-mother-in-israel-1080p-eng.mp4,https://d1e635tdewwzdn.cloudfront.net/assets/general-conference/october-2015-general-conference/2015-09-0020-mother-in-israel-720p-eng.mp4,https://d1e635tdewwzdn.cloudfront.net/assets/general-conference/october-2015-general-conference/2015-09-0020-mother-in-israel-360p-eng.mp4,2015-09-0020-mother-in-israel-720p-eng.mp4,"/Audio/General Conference/2015-October/01-GWM",https://d1e635tdewwzdn.cloudfront.net/assets/general-conference/october-2015-general-conference/2015-09-0020-mother-in-israel-64k-eng.mp3,,,"General Womens Session October 2015",20150927,https://youtu.be/fgGvacS2jUU,7C358C13-7C7F-4941-AFEB-17D65699DB45
"Worthy of Our Promised Blessings","/Videos/General Conference/2015-October/01-GWM",https://d1e635tdewwzdn.cloudfront.net/assets/general-conference/october-2015-general-conference/2015-09-0030-linda-s-reeves-1080p-eng.mp4,https://d1e635tdewwzdn.cloudfront.net/assets/general-conference/october-2015-general-conference/2015-09-0030-linda-s-reeves-720p-eng.mp4,https://d1e635tdewwzdn.cloudfront.net/assets/general-conference/october-2015-general-conference/2015-09-0030-linda-s-reeves-360p-eng.mp4,2015-09-0030-linda-s-reeves-720p-eng.mp4,"/Audio/General Conference/2015-October/01-GWM",https://d1e635tdewwzdn.cloudfront.net/assets/general-conference/october-2015-general-conference/2015-09-0030-linda-s-reeves-64k-eng.mp3,,,"General Womens Session October 2015",20150927,https://youtu.be/D6pD6IWhoUQ,4572F19D-518D-4AA9-9C7A-56EB128349F0
"Sisters in Zion","/Videos/General Conference/2015-October/01-GWM",https://d1e635tdewwzdn.cloudfront.net/assets/general-conference/october-2015-general-conference/2015-09-0040-sisters-in-zion-1080p-eng.mp4,https://d1e635tdewwzdn.cloudfront.net/assets/general-conference/october-2015-general-conference/2015-09-0040-sisters-in-zion-720p-eng.mp4,https://d1e635tdewwzdn.cloudfront.net/assets/general-conference/october-2015-general-conference/2015-09-0040-sisters-in-zion-360p-eng.mp4,2015-09-0040-sisters-in-zion-720p-eng.mp4,"/Audio/General Conference/2015-October/01-GWM",https://d1e635tdewwzdn.cloudfront.net/assets/general-conference/october-2015-general-conference/2015-09-0040-sisters-in-zion-64k-eng.mp3,,,"General Womens Session October 2015",20150927,https://youtu.be/xbsTYdh-MqQ,6D4C9B5A-0947-4332-98FB-25E1F7324FDA
"Here to Serve a Righteous Cause","/Videos/General Conference/2015-October/01-GWM",https://d1e635tdewwzdn.cloudfront.net/assets/general-conference/october-2015-general-conference/2015-09-0050-carol-f-mcconkie-1080p-eng.mp4,https://d1e635tdewwzdn.cloudfront.net/assets/general-conference/october-2015-general-conference/2015-09-0050-carol-f-mcconkie-720p-eng.mp4,https://d1e635tdewwzdn.cloudfront.net/assets/general-conference/october-2015-general-conference/2015-09-0050-carol-f-mcconkie-360p-eng.mp4,2015-09-0050-carol-f-mcconkie-720p-eng.mp4,"/Audio/General Conference/2015-October/01-GWM",https://d1e635tdewwzdn.cloudfront.net/assets/general-conference/october-2015-general-conference/2015-09-0050-carol-f-mcconkie-64k-eng.mp3,,,"General Womens Session October 2015",20150927,https://youtu.be/t7RZeyhrzXM,49420242-0A74-4FFA-B2E1-5A4C6AB699D4
"A Summer with Great-Aunt Rose","/Videos/General Conference/2015-October/01-GWM",https://d1e635tdewwzdn.cloudfront.net/assets/general-conference/october-2015-general-conference/2015-09-0060-president-dieter-f-uchtdorf-1080p-eng.mp4,https://d1e635tdewwzdn.cloudfront.net/assets/general-conference/october-2015-general-conference/2015-09-0060-president-dieter-f-uchtdorf-720p-eng.mp4,https://d1e635tdewwzdn.cloudfront.net/assets/general-conference/october-2015-general-conference/2015-09-0060-president-dieter-f-uchtdorf-360p-eng.mp4,2015-09-0060-president-dieter-f-uchtdorf-720p-eng.mp4,"/Audio/General Conference/2015-October/01-GWM",https://d1e635tdewwzdn.cloudfront.net/assets/general-conference/october-2015-general-conference/2015-09-0060-president-dieter-f-uchtdorf-64k-eng.mp3,,,"General Womens Session October 2015",20150927,https://youtu.be/mYSA-yn6aqg,60023FE3-9959-412B-A84B-5C5D82C948AF
"Come, Ye Children of the Lord","/Videos/General Conference/2015-October/01-GWM",https://d1e635tdewwzdn.cloudfront.net/assets/general-conference/october-2015-general-conference/2015-09-0001-come-ye-children-of-the-lord-1080p-eng.mp4,https://d1e635tdewwzdn.cloudfront.net/assets/general-conference/october-2015-general-conference/2015-09-0001-come-ye-children-of-the-lord-720p-eng.mp4,https://d1e635tdewwzdn.cloudfront.net/assets/general-conference/october-2015-general-conference/2015-09-0001-come-ye-children-of-the-lord-360p-eng.mp4,2015-09-0001-come-ye-children-of-the-lord-720p-eng.mp4,"/Audio/General Conference/2015-October/01-GWM",https://d1e635tdewwzdn.cloudfront.net/assets/general-conference/october-2015-general-conference/2015-09-0001-come-ye-children-of-the-lord-256k-eng.mp3,,,"General Womens Session October 2015",20151006,https://youtu.be/heyyv2R4lxQ,893B29EA-9A80-4FC1-9EBE-FF3AECA5A244
"General Women's Session Leaders October 2015 - Graphic","/Videos/General Conference/2015-October/01-GWM",http://media2.ldscdn.org/assets/general-conference-highlights/october-2015-general-conference-social-media-vemes/2015-10-0011-general-womens-session-leaders-october-2015-graphic-1080p-eng.mp4,http://media2.ldscdn.org/assets/general-conference-highlights/october-2015-general-conference-social-media-vemes/2015-10-0011-general-womens-session-leaders-october-2015-graphic-720p-eng.mp4,http://media2.ldscdn.org/assets/general-conference-highlights/october-2015-general-conference-social-media-vemes/2015-10-0011-general-womens-session-leaders-october-2015-graphic-360p-eng.mp4,2015-10-0011-general-womens-session-leaders-october-2015-graphic-720p-eng.mp4,,,,,"General Womens Session October 2015",20151004,https://youtu.be/YX_CVJCN-4E,927A87A6-D1EA-4C8D-8CCE-3EA5A4BBEC07
